date,disease,pathway,countries,who_report_url
2022-07-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON209
2022-07-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON215
2022-07-28,Lassa fever,wildlife,NL SL,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON213
2022-07-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON224
2022-07-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON225
2022-07-28,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON216
2022-07-28,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON222
2022-07-28,MERS,livestock,QA,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON227
2022-07-28,Yellow fever,vector,ML,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON223
2022-07-28,Yellow fever,vector,NG,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON219
2022-07-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON226
2022-07-22,Marburg virus disease,wildlife,GH,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON402
2022-07-04,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON398
2022-06-27,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON396
2022-06-17,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON393
2022-06-10,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON392
2022-06-04,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390
2022-06-01,Crimean-Congo haemorrhagic fever,livestock,CG IQ,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON386
