date,disease,pathway,countries,who_report_url
2021-06-07,Lassa fever,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_03_14-en
2021-06-07,Marburg virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_03_21-en
2021-06-07,Marburg virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_03_31-en
2021-06-07,Lassa fever,wildlife,DE,https://www.who.int/emergencies/disease-outbreak-news/item/2000_04_04-en
2021-06-07,Tularaemia,wildlife,KV,https://www.who.int/emergencies/disease-outbreak-news/item/2000_04_21a-en
2021-06-07,Tularaemia,wildlife,KV,https://www.who.int/emergencies/disease-outbreak-news/item/2000_04_27a-en
2021-06-07,Yellow fever,vector,NG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_05_19-en
2021-06-07,Anthrax,livestock,ET,https://www.who.int/emergencies/disease-outbreak-news/item/2000_07_20-en
2021-06-07,Lassa fever,wildlife,NL,https://www.who.int/emergencies/disease-outbreak-news/item/2000_07_25-en
2021-06-07,Lassa fever,wildlife,NL,https://www.who.int/emergencies/disease-outbreak-news/item/2000_07_26-en
2021-06-07,Yellow fever,vector,LR,https://www.who.int/emergencies/disease-outbreak-news/item/2000_08_24b-en
2021-06-07,Yellow fever,vector,LR,https://www.who.int/emergencies/disease-outbreak-news/item/2000_09_11-en
2021-06-07,Rift Valley fever,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2000_09_18-en
2021-06-07,West Nile fever,birds,IL,https://www.who.int/emergencies/disease-outbreak-news/item/2000_09_22-en
2021-06-07,Rift Valley fever,livestock,SA YE,https://www.who.int/emergencies/disease-outbreak-news/item/2000_09_29-en
2021-06-07,Rift Valley fever,livestock,YE,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_03-en
2021-06-07,Rift Valley fever,livestock,YE,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_09-en
2021-06-07,Rift Valley fever,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_10-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_16-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_17-en
2021-06-07,Rift Valley fever,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_19a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_20b-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_21-en
2021-06-07,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_22-en
2021-06-07,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_23-en
2021-06-07,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_24-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_25a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_26a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_28-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_29-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_30-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_10_31-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_01-en
2021-06-07,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_02-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_03b-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_05-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_06-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_07-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_09-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_10a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_11-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_12-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_14-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_15-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_17-en
2021-06-07,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_24-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_11_30-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_12_05-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_12_08-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_12_19a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000_12_29b-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_01_03-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_01_09a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_01_17-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_01_24-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_02_09a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2001_02_28b-en
2021-06-07,Yellow fever,vector,BR,https://www.who.int/emergencies/disease-outbreak-news/item/2001_02_28a-en
2021-06-07,Yellow fever,vector,BR,https://www.who.int/emergencies/disease-outbreak-news/item/2001_03_07-en
2021-06-07,Plague,wildlife,ZM,https://www.who.int/emergencies/disease-outbreak-news/item/2001_03_20a-en
2021-06-07,Plague,wildlife,ZM,https://www.who.int/emergencies/disease-outbreak-news/item/2001_03_26-en
2021-06-07,Avian influenza,birds,CN HK,https://www.who.int/emergencies/disease-outbreak-news/item/2001_05_17-en
2021-06-07,Avian influenza,birds,CN HK,https://www.who.int/emergencies/disease-outbreak-news/item/2001_05_18-en
2021-06-07,Yellow fever,vector,CI,https://www.who.int/emergencies/disease-outbreak-news/item/2001_05_31-en
2021-06-07,Yellow fever,vector,PE,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_07e-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG KV,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_11e-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG KV,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_14a-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG KV,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_15e-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG KV,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_20e-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG KV,https://www.who.int/emergencies/disease-outbreak-news/item/2001_06_29e-en
2021-06-07,Yellow fever,vector,LR,https://www.who.int/emergencies/disease-outbreak-news/item/2001_08_23-en
2021-06-07,Yellow fever,vector,CI,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_04-en
2021-06-07,Yellow fever,vector,CI,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_05b-en
2021-06-07,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_12-en
2021-06-07,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_13-en
2021-06-07,Yellow fever,vector,CI,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_18-en
2021-06-07,Yellow fever,vector,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2001_09_25a-en
2021-06-07,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_02-en
2021-06-07,Yellow fever,vector,CI,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_10a-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_11-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_15-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_17-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_18-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_19-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_23-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_24-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_26-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_29-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_30-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_10_31-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_11_02-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_11_05-en
2021-06-07,Yellow fever,vector,BE,https://www.who.int/emergencies/disease-outbreak-news/item/2001_11_12-en
2021-06-07,Yellow fever,vector,BE,https://www.who.int/emergencies/disease-outbreak-news/item/2001_11_15-en
2021-06-07,Anthrax,livestock,US,https://www.who.int/emergencies/disease-outbreak-news/item/2001_11_23-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_11-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_13-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_16-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_17-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_18a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_20-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_24-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_28-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2001_12_31-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_02-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_04-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_07-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_09-en
2021-06-07,Tularaemia,wildlife,KV,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_17-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_21-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_24-en
2021-06-07,Tularaemia,wildlife,KV,https://www.who.int/emergencies/disease-outbreak-news/item/2002_01_25-en
2021-06-07,Tularaemia,wildlife,KV,https://www.who.int/emergencies/disease-outbreak-news/item/2002_02_06-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_02_07-en
2021-06-07,Plague,wildlife,IN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_02_20-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_02_21a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_02_25-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_03_06-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_03_14-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_03_22-en
2021-06-07,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_05_09-en
2021-06-07,Plague,wildlife,MW,https://www.who.int/emergencies/disease-outbreak-news/item/2002_06_05e-en
2021-06-07,West Nile fever,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2002_08_27-en
2021-06-07,West Nile fever,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_03a-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_12b-en
2021-06-07,West Nile fever,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_17-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_18-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_20-en
2021-06-07,West Nile fever,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2002_09_24-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_01a-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_04-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_11-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_15a-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_18-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_22a-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_24a-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_25-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_10_30a-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_11_01-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_11_06-en
2021-06-07,West Nile fever,birds,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2002_11_13-en
2021-06-07,West Nile fever,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2002_11_14-en
2021-06-07,Yellow fever,vector,SN,https://www.who.int/emergencies/disease-outbreak-news/item/2002_11_20-en
2021-06-07,Yellow fever,vector,BR,https://www.who.int/emergencies/disease-outbreak-news/item/2003_01_17-en
2021-06-07,Yellow fever,vector,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_03-en
2021-06-07,Lassa fever,wildlife,GB,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_10a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_18-en
2021-06-07,Avian influenza,birds,CN HK,https://www.who.int/emergencies/disease-outbreak-news/item/2003_2_19-en
2021-06-07,Avian influenza,birds,CN HK,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_20-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_26-en
2021-06-07,Avian influenza,birds,CN HK,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_27a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_28-en
2021-06-07,Crimean-Congo haemorrhagic fever,livestock,CG MR,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_11-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_14-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_16-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_17-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_18-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_19-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_20-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_21-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_22-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_24a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_24B-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_25-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_26-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_27b-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_28-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_29-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_31-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_01-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_02a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_02b-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_02c-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_03a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_04-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_05-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_07-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_08-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_09-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_10-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_11-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_12-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_14a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_15-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_16-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_17-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_18-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_19-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_21-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_22-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_23-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_24a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_25-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_26-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_28-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_29-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_30-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_01-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_02a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_03-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_05-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_06-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_07a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_09b-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_10-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_12-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_13b-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_14a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_15-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_16-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_17-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_19a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_20-en
2021-06-07,SARS,wildlife,CN TW,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_21a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_23b-en
2021-06-07,SARS,wildlife,TW,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_27a-en
2021-06-07,SARS,wildlife,TW,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_28-en
2021-06-07,SARS,wildlife,SG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_30a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_19-en
2021-06-07,Plague,wildlife,DZ,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_24a-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_26-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_30-en
2021-06-07,Plague,wildlife,DZ,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_03b-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_03-en
2021-06-07,SARS,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_04-en
2021-06-07,SARS,wildlife,CN TW,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_05-en
2021-06-07,Plague,wildlife,DZ,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_10-en
2021-06-07,Yellow fever,vector,SL,https://www.who.int/emergencies/disease-outbreak-news/item/2003_08_19-en
2021-06-07,SARS,wildlife,CA,https://www.who.int/emergencies/disease-outbreak-news/item/2003_08_25a-en
2021-06-07,SARS,wildlife,SG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_10-en
2021-06-07,SARS,wildlife,SG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_16-en
2021-06-07,SARS,wildlife,SG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_24-en
2021-06-07,Yellow fever,vector,SL,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_30a-en
2021-06-07,Yellow fever,vector,BF,https://www.who.int/emergencies/disease-outbreak-news/item/2003_10_10-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_11_17-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_11_25a-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_03-en
2021-06-07,Ebola and Sudan virus disease,wildlife,CG,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_12-en
2021-06-07,SARS,wildlife,CN,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_28-en
2021-06-07,SARS,wildlife,CN,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_30-en
2021-06-07,Marburg virus disease,wildlife,AO,https://www.who.int/emergencies/disease-outbreak-news/item/2005_11_07a-en
2021-06-04,Avian influenza,birds,ID,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_22-en
2021-06-04,Avian influenza,birds,EG,https://www.who.int/emergencies/disease-outbreak-news/item/2007_03_15-en
2021-06-04,Marburg virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2007DON078
2021-06-04,Rift Valley fever,livestock,,https://www.who.int/emergencies/disease-outbreak-news/item/testpicturenov07-en
2021-06-04,Avian influenza,birds,VN,https://www.who.int/emergencies/disease-outbreak-news/item/2009_01_11-en
2021-06-04,Avian influenza,birds,EG,https://www.who.int/emergencies/disease-outbreak-news/item/2009_04_23a-en
