species_group,origin,exporter,importer,seized_shipments
shark_ray,BS,BS,US,2
pythons_reptiles,CO,IT,US,2
pythons_reptiles,XX,AT,US,2
pythons_reptiles,PH,IT,US,2
pythons_reptiles,US,RO,US,2
pythons_reptiles,PG,PG,US,2
rosewood,XX,DE,US,2
rosewood,BR,DE,US,2
rosewood,XX,ID,US,2
rosewood,IN,CN,US,2
rosewood,XX,HK,US,2
rosewood,TZ,NZ,GB,2
rosewood,BR,CA,US,2
rosewood,XX,US,CA,2
elephant,CA,CA,US,2
orchids,XX,KR,US,2
shark_ray,PT,PT,US,2
elephant,XX,KE,US,2
primates,MU,US,DE,2
primates,CN,US,CA,2
primates,MU,US,HK,2
primates,VN,US,HK,2
primates,HK,HK,US,2
primates,XX,TH,US,2
primates,CO,CO,US,2
sea_fan,XX,DK,US,2
pangolin,HK,HK,ZA,2
pangolin,TG,TG,US,2
musk_deer,CN,JP,US,2
carnivorous_plants,DE,DE,US,2
primates,LA,LA,US,2
orchids,CN,HK,US,2
medicinal_plants,US,CA,US,2
lion,SN,SN,US,2
pythons_reptiles,VN,NL,US,2
pythons_reptiles,CH,CH,US,2
pythons_reptiles,TH,GB,US,2
medicinal_plants,IN,FR,US,2
orchids,FR,EE,US,2
turtles,LK,LK,DE,2
bear,XX,VN,GB,2
primates,XX,LB,GB,2
primates,AO,AO,ZM,2
lion,SK,HU,BA,2
pythons_reptiles,ID,IT,CH,2
birds,SV,SV,GT,2
agarwood,XX,US,OM,2
primates,XX,HK,MY,2
rosewood,XX,US,OM,2
cacti_succulents,US,US,AT,2
birds,XX,JE,GB,2
primates,SS,SS,ZM,2
medicinal_plants,XX,US,OM,2
lion,ZA,US,CA,2
sea_fan,XX,US,CN,2
sea_fan,XX,US,HK,2
primates,IL,CH,CZ,2
sea_fan,VN,VN,TW,2
sea_fan,VN,VN,RO,2
sea_fan,VN,VN,DE,2
sea_fan,VN,VN,ZA,2
sea_fan,VN,VN,MT,2
sea_fan,VN,VN,HU,2
sea_fan,VN,VN,PK,2
birds,XX,BE,PA,2
sea_fan,CI,CI,SN,2
pythons_reptiles,CI,CI,SN,2
rosewood,SN,SN,CI,2
pangolin,SN,SN,CI,2
hornbill,MY,MY,ID,2
hornbill,ID,PH,ID,2
agarwood,LK,LK,QA,2
hornbill,IL,IL,FR,2
birds,FR,FR,XV,2
sea_fan,IL,IL,US,2
sea_fan,PA,PA,US,2
owl,XX,UA,US,2
orchids,NL,NL,US,2
cacti_succulents,XX,TW,US,2
primates,ZA,ZA,US,2
birds,LC,LC,DE,2
pythons_reptiles,US,AU,US,2
pythons_reptiles,SE,SE,US,2
rosewood,XX,SG,US,2
shark_ray,XX,TH,US,2
shark_ray,XX,KR,US,2
elephant,XX,CD,US,2
musk_deer,XX,GB,US,2
leopard,ZW,ZW,US,2
pythons_reptiles,TH,DE,US,2
pythons_reptiles,BJ,BJ,US,2
pythons_reptiles,TW,TW,US,2
sea_fan,IN,IN,US,2
shark_ray,TT,TT,US,2
owl,BR,BR,US,2
bear,CN,HK,US,2
monitor_lizard,XX,IT,US,2
sea_fan,SC,SC,US,2
resins_gums,XX,US,GR,2
birds,PE,US,XX,2
owl,XX,XX,US,2
cacti_succulents,XX,NL,US,2
jackal,HR,HR,US,2
cacti_succulents,CL,IT,CL,2
pythons_reptiles,BZ,BZ,US,2
pythons_reptiles,ZW,US,CA,2
pythons_reptiles,MW,IT,US,2
pythons_reptiles,DE,DE,US,2
pythons_reptiles,BW,BW,US,2
pythons_reptiles,US,GB,US,2
rosewood,BR,SE,US,2
orchids,KH,KH,US,2
elephant,NA,AU,US,2
owl,EC,EC,US,2
shark_ray,CU,CU,US,2
elephant,CG,BE,US,2
elephant,XX,LU,US,2
elephant,ZA,FR,US,2
elephant,ZM,ZM,US,2
primates,SK,ES,GB,2
tiger,XX,US,XX,2
tiger,XX,HK,US,2
shark_ray,XX,CH,PL,2
pythons_reptiles,US,US,CA,2
owl,CZ,CZ,US,2
owl,FR,FR,US,2
bear,KH,KH,US,2
monitor_lizard,IT,IT,US,2
birds,US,US,PA,2
hornbill,XX,AE,CZ,2
pythons_reptiles,SN,SN,CI,2
elephant,XX,DE,CH,2
pangolin,XX,HK,SG,2
lion,SN,SN,CI,2
sea_fan,ID,DE,CH,2
birds,CZ,NL,ID,2
rosewood,LK,LK,SG,2
tokay_gecko,XX,HK,US,2
tokay_gecko,ID,ID,US,2
primates,CN,AU,US,2
sea_fan,XX,IL,US,2
pythons_reptiles,XX,TG,US,2
medicinal_plants,US,CH,US,2
tiger,XX,ID,US,2
pythons_reptiles,ID,CN,US,2
monitor_lizard,ID,AT,US,2
pythons_reptiles,XX,BH,AE,2
agarwood,XX,SG,US,2
owl,PE,PE,US,2
cacti_succulents,US,US,CA,2
cacti_succulents,US,US,GB,2
pythons_reptiles,GT,GT,US,2
pythons_reptiles,ZM,ZM,US,2
pythons_reptiles,ZA,AU,US,2
pythons_reptiles,TH,CA,US,2
orchids,SG,SG,US,2
tokay_gecko,XX,VN,US,2
tokay_gecko,TH,TH,US,2
shark_ray,XX,SK,US,2
shark_ray,MX,US,CA,2
shark_ray,XX,NI,US,2
elephant,DE,DE,US,2
elephant,MZ,DO,US,2
elephant,XX,JP,US,2
elephant,ZW,GB,US,2
elephant,DE,DE,CH,2
primates,ID,CA,US,2
primates,US,CA,US,2
primates,VN,CH,US,2
primates,MR,CA,US,2
bear,IN,GB,US,2
musk_deer,XX,SG,US,2
musk_deer,XX,PK,US,2
owl,XX,ID,US,2
owl,ID,ID,US,2
lion,CU,CU,US,2
tiger,AR,AR,JO,2
tiger,AU,AU,US,2
orchids,XX,MY,US,2
birds,XX,NG,US,2
pythons_reptiles,BH,BH,AE,2
pythons_reptiles,NL,IT,US,2
pythons_reptiles,XX,LB,US,2
pythons_reptiles,IT,JP,US,2
sea_fan,BB,BB,US,2
sea_fan,XX,PF,US,2
sea_fan,AU,HK,US,2
sea_fan,EG,EG,US,2
owl,XX,PL,US,2
owl,CO,CO,US,2
owl,EE,EE,US,2
birds,US,DE,US,2
leopard,XX,CH,DE,2
sea_fan,ID,CH,DE,2
sea_fan,VN,SG,US,2
resins_gums,ID,ID,US,2
birds,US,GB,US,2
birds,BO,BO,US,2
cacti_succulents,CY,CY,US,2
rosewood,IN,JP,US,2
rosewood,MZ,GB,US,2
sea_fan,XX,AE,US,2
shark_ray,XX,CO,US,2
carnivorous_plants,TW,TW,US,2
lion,CM,CM,US,2
jaguar,CO,CO,US,2
red_sanders,XX,AE,CN,2
owl,XX,EE,US,2
pythons_reptiles,GT,GT,DE,2
turtles,HR,HR,RS,2
primates,AE,AE,IN,2
lion,XX,FR,ZA,2
lion,MX,MX,US,2
leopard,XX,CA,FR,2
leopard,XX,BE,ZA,2
shark_ray,HS,HS,PT,2
birds,BE,US,GB,2
birds,US,US,BZ,2
birds,US,BZ,US,2
birds,XX,US,BZ,2
birds,XX,BZ,US,2
pythons_reptiles,US,US,BZ,2
pythons_reptiles,US,BZ,US,2
pythons_reptiles,XX,US,BZ,2
pythons_reptiles,XX,BZ,US,2
shark_ray,XX,US,TZ,2
shark_ray,XX,TZ,US,2
primates,TW,GB,US,2
agarwood,KH,DE,CN,1
agarwood,MY,DE,CN,1
rosewood,MX,DE,CN,1
rosewood,GT,DE,CN,1
primates,SK,RS,ES,1
lion,ES,ES,US,1
birds,AO,AO,TN,1
red_sanders,IN,DE,CN,1
monitor_lizard,MY,NL,AU,1
hornbill,CM,CM,US,1
cheetah,XX,US,FR,1
sea_fan,TR,TR,US,1
resins_gums,XX,US,HK,1
resins_gums,XX,TG,US,1
birds,XX,PA,US,1
birds,PA,PA,US,1
birds,SV,SV,US,1
agarwood,TH,TH,US,1
agarwood,XX,TH,US,1
birds,XX,TH,US,1
owl,XX,HU,US,1
owl,AR,AR,US,1
owl,XX,HN,US,1
primates,AU,AU,US,1
pythons_reptiles,XX,US,AZ,1
pythons_reptiles,XX,US,RU,1
pythons_reptiles,XX,PG,US,1
pythons_reptiles,ZA,US,CA,1
pythons_reptiles,ZW,US,FR,1
pythons_reptiles,ZW,US,MY,1
pythons_reptiles,NA,BE,US,1
pythons_reptiles,XX,SD,US,1
pythons_reptiles,ZA,MY,US,1
pythons_reptiles,ZM,ES,US,1
pythons_reptiles,ZW,BE,US,1
pythons_reptiles,ZW,HK,US,1
pythons_reptiles,ZW,IN,US,1
pythons_reptiles,ZW,JP,US,1
pythons_reptiles,ZW,TH,US,1
pythons_reptiles,MZ,MZ,US,1
pythons_reptiles,AU,US,CN,1
pythons_reptiles,PG,SG,US,1
pythons_reptiles,PH,GB,US,1
pythons_reptiles,TH,VN,US,1
pythons_reptiles,XX,US,SA,1
pythons_reptiles,XX,BS,US,1
pythons_reptiles,XX,FM,US,1
pythons_reptiles,XX,SX,US,1
pythons_reptiles,AE,AE,US,1
cycads,DO,DO,US,1
cycads,CN,CN,US,1
cacti_succulents,US,JP,US,1
rosewood,MX,MX,US,1
turtles,XX,CA,US,1
bear,XX,TH,US,1
shark_ray,VN,HK,US,1
shark_ray,XX,HN,US,1
shark_ray,XX,MY,US,1
shark_ray,XX,PH,US,1
shark_ray,MX,US,MX,1
shark_ray,CR,MX,US,1
shark_ray,CR,PW,US,1
shark_ray,XX,CR,US,1
elephant,BW,ZA,US,1
elephant,TZ,SA,US,1
elephant,XX,EG,US,1
elephant,XX,IL,US,1
elephant,XX,NL,US,1
primates,CN,US,DE,1
primates,XX,JP,US,1
primates,CZ,CZ,US,1
pangolin,CN,VN,US,1
pangolin,ID,ID,US,1
musk_deer,CN,US,CN,1
musk_deer,XX,MX,US,1
musk_deer,XX,TH,US,1
primates,XX,UG,US,1
medicinal_plants,CA,US,SG,1
medicinal_plants,US,US,DK,1
medicinal_plants,US,US,IT,1
medicinal_plants,US,US,MY,1
lion,ZA,ET,US,1
jaguar,XX,GT,US,1
leopard,XX,CH,US,1
leopard,XX,ZA,US,1
tiger,XX,US,CN,1
tiger,CN,JP,US,1
tiger,CN,MY,US,1
tiger,IN,AE,US,1
tiger,XX,AE,US,1
tiger,XX,AU,US,1
tiger,XX,TW,US,1
orchids,CR,CR,US,1
sea_fan,TW,GB,US,1
sea_fan,XX,US,PL,1
birds,XX,EC,US,1
birds,ZA,AE,US,1
pythons_reptiles,SG,GR,US,1
pythons_reptiles,XX,US,BM,1
pythons_reptiles,XX,BH,US,1
pythons_reptiles,US,US,IT,1
pythons_reptiles,CM,BE,US,1
pythons_reptiles,CN,FR,US,1
pythons_reptiles,TH,SG,US,1
pythons_reptiles,XX,EG,US,1
pythons_reptiles,XX,QA,US,1
carnivorous_plants,GB,GB,US,1
medicinal_plants,CN,FR,US,1
medicinal_plants,XX,JP,US,1
medicinal_plants,SG,SG,US,1
sea_fan,XX,US,FR,1
sea_fan,US,US,CA,1
sea_fan,XX,BL,US,1
orchids,US,US,FR,1
owl,TH,TH,US,1
owl,DK,DK,US,1
monitor_lizard,ID,US,KR,1
monitor_lizard,XX,MM,US,1
monitor_lizard,XX,TH,US,1
shark_ray,MX,CA,US,1
red_sanders,XX,IN,CN,1
pythons_reptiles,CN,CN,JP,1
cycads,ZA,ZA,NA,1
cycads,NZ,NZ,ZA,1
birds,DE,DE,TR,1
elephant,VN,VN,ZA,1
elephant,XX,AT,VN,1
orchids,TH,TL,FR,1
primates,ZM,ZM,SE,1
lion,XX,KW,KR,1
red_sanders,XX,DE,SG,1
pythons_reptiles,US,BM,US,1
sea_fan,VN,VN,ES,1
sea_fan,VN,VN,SA,1
sea_fan,VN,VN,NO,1
cheetah,KE,KE,US,1
sea_fan,FJ,US,CR,1
resins_gums,AU,AU,US,1
resins_gums,BR,BR,US,1
birds,US,US,NZ,1
birds,XX,VE,US,1
agarwood,VN,VN,US,1
birds,BZ,BR,US,1
birds,US,KN,US,1
birds,AR,AR,US,1
birds,LR,LR,US,1
birds,US,US,TH,1
birds,XX,US,JP,1
owl,MN,MN,US,1
owl,XX,UY,US,1
cacti_succulents,SX,SX,US,1
cacti_succulents,KH,KH,US,1
jackal,ET,ET,US,1
jackal,GE,GE,US,1
sea_fan,JP,IN,US,1
pythons_reptiles,ZW,MX,US,1
pythons_reptiles,XX,ZM,US,1
pythons_reptiles,ZW,IE,US,1
pythons_reptiles,KE,KE,US,1
pythons_reptiles,ZA,JP,US,1
pythons_reptiles,PG,LU,US,1
pythons_reptiles,PG,CA,US,1
pythons_reptiles,AU,NZ,US,1
pythons_reptiles,TH,FR,TR,1
pythons_reptiles,CD,BE,US,1
rosewood,BR,US,TW,1
rosewood,MY,MY,AE,1
rosewood,HN,NI,US,1
orchids,MO,MO,US,1
sea_fan,AU,US,CL,1
elephant,XX,AR,US,1
elephant,CN,LA,US,1
cacti_succulents,ZA,ZA,JP,1
sea_fan,TR,RS,US,1
sea_fan,AU,AU,BE,1
orchids,XX,AU,US,1
turtles,IN,MY,US,1
primates,CG,CG,US,1
shark_ray,NC,US,TH,1
elephant,NA,US,KR,1
elephant,TZ,US,TZ,1
elephant,XX,US,JP,1
elephant,XX,SA,US,1
elephant,XX,IE,US,1
elephant,CM,CD,US,1
elephant,ZW,NG,US,1
elephant,XX,DK,US,1
elephant,XX,HK,NZ,1
primates,ID,US,JP,1
primates,XX,IL,US,1
primates,CN,DK,US,1
primates,CN,CH,US,1
primates,US,US,AU,1
primates,XX,US,IT,1
primates,BD,BD,US,1
primates,XX,IT,US,1
pangolin,XX,CA,US,1
pangolin,NG,GB,US,1
owl,US,US,RU,1
musk_deer,NP,BH,US,1
musk_deer,RU,KR,US,1
musk_deer,XX,CA,US,1
musk_deer,XX,US,CN,1
musk_deer,ID,ID,US,1
musk_deer,CN,TH,US,1
medicinal_plants,NP,NP,US,1
carnivorous_plants,HK,HK,US,1
orchids,NZ,MY,US,1
orchids,TW,TW,JP,1
pythons_reptiles,CD,CD,US,1
primates,CM,CM,US,1
primates,ZA,ZA,TT,1
primates,US,US,TT,1
medicinal_plants,CA,US,HK,1
medicinal_plants,US,US,NL,1
medicinal_plants,US,US,SG,1
medicinal_plants,US,US,ZA,1
lion,MZ,MZ,US,1
jaguar,XX,IT,US,1
leopard,ID,CA,US,1
leopard,MZ,ZA,US,1
tiger,CN,CA,US,1
orchids,NL,NL,AE,1
sea_fan,TW,JP,US,1
shark_ray,MG,MG,US,1
shark_ray,GM,MG,US,1
birds,IL,US,IL,1
birds,XX,US,HK,1
birds,PK,PK,US,1
birds,CG,CG,US,1
birds,ZA,KW,IR,1
red_sanders,IN,SG,DE,1
pythons_reptiles,ID,US,IT,1
pythons_reptiles,ID,KW,US,1
pythons_reptiles,RU,US,GB,1
pythons_reptiles,NA,PT,US,1
pythons_reptiles,XX,MA,US,1
pythons_reptiles,XX,SV,US,1
pythons_reptiles,HU,HU,US,1
pythons_reptiles,IT,FR,US,1
pythons_reptiles,GP,GP,US,1
pythons_reptiles,CN,GB,US,1
pythons_reptiles,ID,TH,US,1
carnivorous_plants,FR,FR,US,1
medicinal_plants,MY,MY,US,1
sea_fan,PH,DE,US,1
sea_fan,MM,TH,US,1
sea_fan,GH,GH,US,1
sea_fan,XX,GD,US,1
sea_fan,VN,VN,HK,1
bear,XX,JP,US,1
bear,JP,JP,US,1
monitor_lizard,XX,US,CA,1
monitor_lizard,XX,HK,US,1
monitor_lizard,SG,IT,US,1
eels,CN,CA,US,1
bulbs_ornamental,TR,NL,CA,1
elephant,AT,AT,VN,1
elephant,XX,AT,CA,1
elephant,XX,AT,IL,1
pangolin,NG,NL,CH,1
orchids,XX,CH,NL,1
sea_fan,VN,VN,NL,1
sea_fan,VN,VN,GR,1
sea_fan,VN,VN,BG,1
pythons_reptiles,ZA,AT,JP,1
pythons_reptiles,XX,HK,SG,1
rosewood,IN,IN,VN,1
rosewood,IN,IN,BG,1
rosewood,IN,IN,TR,1
rosewood,IN,IN,PT,1
rosewood,IN,IN,FR,1
rosewood,IN,IN,TH,1
rosewood,IN,IN,AU,1
shark_ray,US,US,CN,1
medicinal_plants,US,US,IE,1
medicinal_plants,US,US,ID,1
medicinal_plants,XX,US,ZA,1
medicinal_plants,XX,US,CA,1
lion,FR,BE,ZA,1
tiger,UA,LB,FR,1
red_sanders,IN,IN,US,1
red_sanders,IN,SG,AE,1
red_sanders,IN,SG,US,1
rhino,AT,GB,ZA,1
sea_fan,ID,VN,CY,1
sea_fan,XX,ES,US,1
shark_ray,XX,US,GB,1
birds,PW,PE,US,1
birds,PE,ES,US,1
sea_fan,XX,US,ZA,1
cacti_succulents,US,US,CR,1
jackal,RO,RO,US,1
pythons_reptiles,SG,CN,US,1
pythons_reptiles,PE,PF,US,1
pythons_reptiles,ZW,US,CN,1
pythons_reptiles,XX,US,GB,1
pythons_reptiles,TZ,US,IT,1
pythons_reptiles,MW,MW,US,1
pythons_reptiles,ZW,DK,US,1
pythons_reptiles,ZA,DK,US,1
pythons_reptiles,SS,SS,US,1
pythons_reptiles,ZW,ES,US,1
pythons_reptiles,SD,XX,US,1
pythons_reptiles,CH,GB,US,1
pythons_reptiles,AU,US,FR,1
pythons_reptiles,AU,PA,US,1
pythons_reptiles,US,US,RU,1
pythons_reptiles,MG,MG,US,1
pythons_reptiles,XX,CO,US,1
pythons_reptiles,XX,GP,US,1
pythons_reptiles,DE,SG,US,1
pythons_reptiles,FR,TH,US,1
pythons_reptiles,SE,CA,US,1
pythons_reptiles,CC,JP,US,1
rosewood,XX,US,ZA,1
rosewood,BR,GB,US,1
rosewood,XX,US,VN,1
rosewood,XX,NI,US,1
rosewood,XX,PH,US,1
rosewood,HN,US,CN,1
carnivorous_plants,NL,NL,US,1
carnivorous_plants,KR,KR,US,1
elephant,XX,PE,US,1
elephant,HK,HK,US,1
cacti_succulents,TZ,TZ,US,1
cacti_succulents,IN,IN,US,1
orchids,XX,MN,US,1
primates,JE,GB,US,1
sea_fan,IT,GB,US,1
shark_ray,XX,US,ZA,1
shark_ray,CN,CH,US,1
shark_ray,FR,FR,US,1
shark_ray,AU,CA,US,1
elephant,ZA,US,CA,1
elephant,XX,US,TH,1
elephant,SD,XX,US,1
elephant,SD,SD,US,1
elephant,SS,SS,US,1
elephant,ZA,NZ,ZA,1
elephant,NZ,NZ,ZA,1
primates,VN,US,CN,1
primates,VN,US,FR,1
primates,MU,US,FR,1
primates,VN,US,RU,1
primates,VN,US,PH,1
primates,CN,US,DK,1
primates,VN,US,ER,1
primates,VN,US,IN,1
primates,MU,US,CW,1
primates,MU,US,RU,1
primates,MU,US,CN,1
primates,MU,US,MY,1
primates,DE,DE,US,1
primates,IT,IT,US,1
primates,XX,PH,US,1
primates,XX,DE,US,1
pangolin,FR,FR,US,1
pangolin,KH,KH,US,1
pangolin,XX,XX,US,1
pangolin,NG,NG,US,1
musk_deer,XX,US,TW,1
musk_deer,XX,US,ZA,1
musk_deer,CN,XX,US,1
musk_deer,IN,IN,US,1
leopard,AE,AE,GB,1
carnivorous_plants,CN,CN,US,1
primates,NO,NO,RU,1
primates,TH,TH,US,1
cacti_succulents,XX,US,GB,1
primates,GB,GB,US,1
medicinal_plants,CA,HK,US,1
lion,XX,EC,US,1
jaguar,XX,US,ZA,1
jaguar,PE,CO,US,1
leopard,DE,US,NL,1
leopard,XX,US,CN,1
leopard,XX,BL,US,1
tiger,XX,US,ZA,1
tiger,CN,VN,US,1
tiger,XX,IE,US,1
tiger,XX,SA,US,1
tiger,XX,MN,US,1
sea_fan,IT,US,AE,1
sea_fan,XX,TH,US,1
sea_fan,IT,DK,US,1
birds,US,US,XX,1
birds,US,TR,US,1
birds,US,XX,US,1
red_sanders,LK,LK,CN,1
red_sanders,IN,SG,HK,1
pythons_reptiles,MM,FR,US,1
pythons_reptiles,ID,HK,US,1
pythons_reptiles,ID,US,TH,1
pythons_reptiles,US,KW,US,1
pythons_reptiles,XX,US,SE,1
pythons_reptiles,XX,US,TW,1
pythons_reptiles,BL,BL,US,1
pythons_reptiles,TH,BE,US,1
sea_fan,US,US,GB,1
sea_fan,US,US,DE,1
sea_fan,AE,AE,US,1
shark_ray,PA,HK,US,1
sea_fan,CN,TH,US,1
bear,TH,KR,US,1
monitor_lizard,IT,US,FR,1
monitor_lizard,MY,NL,US,1
pythons_reptiles,XX,NL,ID,1
pythons_reptiles,AU,AU,FI,1
rosewood,MG,MU,MG,1
rosewood,US,US,FI,1
orchids,CN,CN,FI,1
elephant,GA,GA,MT,1
pangolin,XX,NL,CH,1
primates,SS,ZM,AO,1
primates,XX,TH,GB,1
primates,XX,TR,GB,1
lion,XX,BE,ZA,1
lion,XX,ES,ZA,1
shark_ray,XX,NL,ID,1
birds,XX,ZA,DE,1
sea_fan,XX,NL,ID,1
sea_fan,XX,VN,CY,1
sea_fan,ID,ID,GB,1
cheetah,XX,US,OM,1
birds,AU,US,FR,1
owl,CA,US,CA,1
pythons_reptiles,ZW,US,MX,1
pythons_reptiles,CH,US,GB,1
rosewood,HN,US,HK,1
orchids,TH,GP,FR,1
shark_ray,VE,US,VE,1
elephant,HK,HK,MY,1
elephant,PL,US,PT,1
elephant,XX,US,GB,1
primates,KH,US,CA,1
primates,MU,US,NL,1
primates,MU,US,SG,1
bear,IN,NP,IN,1
carnivorous_plants,LK,LK,TH,1
carnivorous_plants,LK,LK,HK,1
primates,TH,TH,GB,1
primates,ZM,ZM,NL,1
medicinal_plants,HK,US,HK,1
medicinal_plants,US,US,BZ,1
medicinal_plants,US,US,MN,1
medicinal_plants,XX,US,CH,1
jaguar,XX,US,OM,1
tiger,XX,US,VN,1
sea_fan,CN,US,HK,1
red_sanders,IN,CN,JP,1
pythons_reptiles,LA,US,MX,1
sea_fan,US,US,JM,1
sea_fan,VN,US,SA,1
sea_fan,US,US,KR,1
shark_ray,XX,US,AU,1
monitor_lizard,MY,US,CN,1
monitor_lizard,US,US,TT,1
elephant,XX,US,TW,1
primates,XX,IL,IN,1
leopard,XX,SN,ZA,1
tiger,MY,MY,ZA,1
medicinal_plants,CN,TW,CH,1
sea_fan,VN,VN,IL,1
sea_fan,VN,VN,SG,1
sea_fan,VN,VN,UA,1
resins_gums,LS,LS,ZA,1
agarwood,CI,CI,SN,1
rosewood,CI,CI,SN,1
pangolin,CI,CI,SN,1
leopard,SN,SN,ZA,1
pythons_reptiles,MO,HK,FR,1
rosewood,ES,NZ,ES,1
birds,CD,DE,CD,1
hornbill,PH,PH,ID,1
cheetah,SG,US,ZA,1
resins_gums,KR,KR,US,1
birds,XX,ES,US,1
agarwood,VN,CA,US,1
birds,BB,BB,US,1
birds,TT,TT,US,1
turtles,HK,HK,US,1
hornbill,XX,CA,US,1
cacti_succulents,PL,PL,US,1
cacti_succulents,SK,SK,US,1
jackal,IN,GB,US,1
jackal,TZ,TZ,US,1
rosewood,XX,CA,NL,1
shark_ray,WS,WS,US,1
lion,CA,CA,US,1
leopard,DE,DE,BT,1
tiger,DE,DE,BT,1
red_sanders,IN,MY,CN,1
pythons_reptiles,VN,VE,US,1
pythons_reptiles,US,FI,US,1
pythons_reptiles,ZA,HU,US,1
pythons_reptiles,MZ,ZW,US,1
pythons_reptiles,ID,TR,US,1
pythons_reptiles,PH,FR,US,1
pythons_reptiles,AU,KR,US,1
pythons_reptiles,ID,VN,US,1
pythons_reptiles,US,SE,US,1
pythons_reptiles,ID,NI,US,1
pythons_reptiles,XX,IL,US,1
pythons_reptiles,ID,AT,US,1
pythons_reptiles,US,AT,US,1
pythons_reptiles,EE,EE,US,1
pythons_reptiles,EC,EC,US,1
rosewood,NL,NL,US,1
rosewood,XX,CZ,US,1
rosewood,IN,PK,US,1
sea_fan,GD,GD,US,1
sea_fan,MF,MF,US,1
elephant,IL,CA,US,1
elephant,MM,CA,US,1
elephant,TH,CA,US,1
cacti_succulents,XX,ID,US,1
cacti_succulents,GB,GB,US,1
birds,CN,CN,US,1
shark_ray,XX,ES,US,1
shark_ray,SG,SG,US,1
shark_ray,XX,CH,US,1
elephant,XX,IN,US,1
elephant,IT,IT,US,1
elephant,ES,ES,US,1
primates,MU,ES,US,1
primates,CH,CH,US,1
primates,QA,QA,US,1
sea_fan,CN,PF,US,1
pangolin,LA,LA,US,1
pangolin,TH,TH,US,1
sea_fan,GR,GR,US,1
musk_deer,CN,FR,US,1
musk_deer,CN,SG,US,1
carnivorous_plants,FM,FM,US,1
orchids,BR,BR,US,1
cacti_succulents,US,CN,US,1
orchids,PA,PA,US,1
orchids,XX,BN,US,1
orchids,CU,CU,US,1
tiger,XX,DO,US,1
tiger,TH,AU,US,1
sea_fan,JP,TH,US,1
sea_fan,XX,GH,US,1
shark_ray,HS,IT,US,1
red_sanders,XX,ID,US,1
pythons_reptiles,PY,GB,US,1
pythons_reptiles,VN,PT,US,1
pythons_reptiles,ID,DE,US,1
pythons_reptiles,ID,PT,US,1
pythons_reptiles,US,TW,US,1
pythons_reptiles,CG,BE,US,1
pythons_reptiles,CM,FR,US,1
pythons_reptiles,IT,GB,US,1
pythons_reptiles,US,HK,US,1
medicinal_plants,XX,CA,US,1
sea_fan,ID,CN,US,1
sea_fan,CU,BS,US,1
sea_fan,AR,AR,US,1
sea_fan,BS,CU,US,1
sea_fan,XX,AU,US,1
sea_fan,MH,FR,US,1
sea_fan,XX,VN,US,1
sea_fan,XX,PW,US,1
owl,US,PE,US,1
bear,LA,XX,US,1
monitor_lizard,TH,FR,US,1
monitor_lizard,XX,AU,US,1
monitor_lizard,ID,HK,US,1
sea_fan,SB,GP,US,1
sea_fan,NI,NI,US,1
resins_gums,XX,HK,US,1
agarwood,XX,MY,US,1
birds,US,CO,US,1
owl,GT,CA,US,1
hornbill,TH,TH,US,1
cacti_succulents,US,US,AU,1
cacti_succulents,XX,NZ,US,1
cacti_succulents,XX,AU,US,1
jackal,ZA,ZA,US,1
pythons_reptiles,XX,RO,US,1
pythons_reptiles,PA,PA,US,1
pythons_reptiles,GY,GY,US,1
pythons_reptiles,ZM,US,CA,1
pythons_reptiles,ZW,AE,US,1
pythons_reptiles,KE,SG,US,1
pythons_reptiles,ZA,FI,US,1
pythons_reptiles,ZW,KR,US,1
pythons_reptiles,SN,SN,US,1
pythons_reptiles,US,NL,US,1
pythons_reptiles,AU,NL,US,1
pythons_reptiles,PG,CH,US,1
pythons_reptiles,TH,JP,US,1
pythons_reptiles,KR,HK,US,1
pythons_reptiles,CN,MN,US,1
pythons_reptiles,PK,PK,US,1
rosewood,XX,US,FR,1
rosewood,IN,IT,US,1
rosewood,BR,BE,US,1
rosewood,XX,US,HK,1
rosewood,XX,BR,US,1
elephant,IN,GB,US,1
elephant,AT,AT,US,1
cycads,US,US,HK,1
orchids,KP,CN,US,1
sea_fan,MY,HK,US,1
shark_ray,NC,NC,US,1
shark_ray,XX,DO,US,1
shark_ray,XX,TW,US,1
shark_ray,XX,NO,US,1
shark_ray,LK,LK,US,1
elephant,GA,GA,GB,1
elephant,XX,BR,US,1
elephant,NA,FR,US,1
elephant,AO,PT,US,1
elephant,RW,RW,US,1
elephant,CI,CA,US,1
elephant,ZA,CA,US,1
primates,US,US,ES,1
primates,MU,US,DK,1
primates,US,US,NL,1
primates,DE,CA,US,1
primates,CN,US,CN,1
pangolin,KE,KE,US,1
pangolin,XX,FR,US,1
pangolin,GA,GA,US,1
musk_deer,KR,SG,US,1
carnivorous_plants,XX,NL,US,1
medicinal_plants,US,SG,US,1
medicinal_plants,US,MY,US,1
lion,DK,ZA,US,1
jaguar,CR,CR,US,1
jaguar,PA,PA,US,1
jaguar,EC,EC,US,1
leopard,GB,GB,US,1
leopard,PE,PE,US,1
leopard,SD,SD,US,1
tiger,ID,ID,US,1
tiger,XX,IN,US,1
tiger,VN,XX,US,1
tiger,XX,SG,US,1
tiger,KP,CN,US,1
tiger,XX,NG,US,1
birds,ID,ID,US,1
sea_fan,JP,US,HK,1
